Date,Open,High,Low,Close,Adj Close,Volume,Name
2020-01-02,1348.410034,1368.680054,1346.489990,1368.680054,1368.680054,1363900,GOOGL
2020-01-03,1348.000000,1373.750000,1347.319946,1361.520020,1361.520020,1170400,GOOGL
2020-01-06,1351.630005,1398.319946,1351.000000,1397.810059,1397.810059,2338400,GOOGL
2020-01-07,1400.459961,1403.500000,1391.560059,1395.109985,1395.109985,1716500,GOOGL
2020-01-08,1394.819946,1411.849976,1392.630005,1405.040039,1405.040039,1765700,GOOGL
2020-01-09,1421.930054,1428.680054,1410.209961,1419.790039,1419.790039,1660000,GOOGL
2020-01-10,1429.469971,1434.939941,1419.599976,1428.959961,1428.959961,1312900,GOOGL
2020-01-13,1435.250000,1441.479980,1425.369995,1440.030029,1440.030029,1536500,GOOGL
2020-01-14,1440.000000,1442.630005,1427.770020,1430.589966,1430.589966,1303800,GOOGL
2020-01-15,1433.020020,1440.780029,1431.660034,1439.199951,1439.199951,1077500,GOOGL
2020-01-16,1445.449951,1450.699951,1440.000000,1450.160034,1450.160034,1304000,GOOGL
2020-01-17,1462.540039,1480.550049,1456.550049,1479.520020,1479.520020,2621200,GOOGL
2020-01-21,1479.000000,1489.880005,1470.209961,1482.250000,1482.250000,2446500,GOOGL
2020-01-22,1489.729980,1500.579956,1482.660034,1483.869995,1483.869995,1422900,GOOGL
2020-01-23,1487.550049,1493.500000,1480.319946,1484.689941,1484.689941,1332500,GOOGL
2020-01-24,1492.819946,1494.199951,1463.180054,1466.170044,1466.170044,1489300,GOOGL
2020-01-27,1431.540039,1436.579956,1419.500000,1431.729980,1431.729980,1706600,GOOGL
2020-01-28,1441.739990,1454.800049,1430.359985,1450.500000,1450.500000,1486200,GOOGL
2020-01-29,1458.459961,1464.140015,1445.390015,1456.699951,1456.699951,1078300,GOOGL
2020-01-30,1438.099976,1455.250000,1435.000000,1454.250000,1454.250000,1355500,GOOGL
2020-01-31,1467.859985,1469.670044,1427.060059,1432.780029,1432.780029,2191100,GOOGL
2020-02-03,1461.650024,1486.300049,1456.609985,1482.599976,1482.599976,3581800,GOOGL
2020-02-04,1454.489990,1467.339966,1422.030029,1445.410034,1445.410034,4794000,GOOGL
2020-02-05,1463.609985,1464.579956,1429.680054,1446.050049,1446.050049,1818800,GOOGL
2020-02-06,1451.979980,1481.560059,1450.479980,1475.969971,1475.969971,1891100,GOOGL
2020-02-07,1467.390015,1485.250000,1465.410034,1479.109985,1479.109985,1418000,GOOGL
2020-02-10,1477.229980,1508.880005,1475.199951,1508.660034,1508.660034,1915100,GOOGL
2020-02-11,1513.270020,1529.880005,1505.449951,1510.060059,1510.060059,1742600,GOOGL
2020-02-12,1515.859985,1520.300049,1508.670044,1518.630005,1518.630005,1552100,GOOGL
2020-02-13,1510.000000,1525.949951,1504.000000,1513.390015,1513.390015,1145700,GOOGL
2020-02-14,1514.530029,1520.050049,1505.550049,1518.729980,1518.729980,1159900,GOOGL
2020-02-18,1514.339966,1530.560059,1511.010010,1519.439941,1519.439941,1282100,GOOGL
2020-02-19,1527.199951,1530.739990,1520.979980,1524.869995,1524.869995,1137300,GOOGL
2020-02-20,1519.010010,1527.069946,1504.260010,1516.989990,1516.989990,1298100,GOOGL
2020-02-21,1504.579956,1510.949951,1478.489990,1483.459961,1483.459961,2126000,GOOGL
2020-02-24,1423.050049,1436.380005,1406.790039,1419.859985,1419.859985,2478000,GOOGL
2020-02-25,1431.000000,1436.849976,1380.420044,1386.319946,1386.319946,2579000,GOOGL
2020-02-26,1394.979980,1413.670044,1376.550049,1390.469971,1390.469971,2488800,GOOGL
2020-02-27,1359.140015,1369.400024,1314.239990,1314.949951,1314.949951,3110900,GOOGL
2020-02-28,1274.310059,1342.449951,1268.209961,1339.250000,1339.250000,4010900,GOOGL
2020-03-02,1351.390015,1387.469971,1325.199951,1386.319946,1386.319946,2771500,GOOGL
2020-03-03,1397.680054,1408.189941,1329.239990,1337.719971,1337.719971,2830100,GOOGL
2020-03-04,1358.959961,1382.780029,1337.000000,1381.599976,1381.599976,2379900,GOOGL
2020-03-05,1345.550049,1353.630005,1301.640015,1314.760010,1314.760010,2719000,GOOGL
2020-03-06,1269.949951,1302.750000,1257.209961,1295.739990,1295.739990,3232000,GOOGL
2020-03-09,1204.959961,1252.729980,1198.040039,1215.790039,1215.790039,3462600,GOOGL
2020-03-10,1254.390015,1275.849976,1214.510010,1275.170044,1275.170044,2743600,GOOGL
2020-03-11,1248.270020,1256.930054,1191.140015,1210.900024,1210.900024,2736600,GOOGL
2020-03-12,1122.619995,1188.750000,1108.469971,1111.550049,1111.550049,4716300,GOOGL
2020-03-13,1174.989990,1214.400024,1112.290039,1214.270020,1214.270020,3970000,GOOGL
2020-03-16,1089.609985,1145.469971,1067.079956,1073.000000,1073.000000,4826000,GOOGL
2020-03-17,1090.640015,1126.000000,1049.099976,1118.060059,1118.060059,4159700,GOOGL
2020-03-18,1059.939941,1104.989990,1037.000000,1091.189941,1091.189941,4652200,GOOGL
2020-03-19,1088.219971,1152.609985,1055.550049,1111.670044,1111.670044,3703200,GOOGL
2020-03-20,1130.900024,1138.479980,1062.099976,1068.209961,1068.209961,4143900,GOOGL
2020-03-23,1056.369995,1066.910034,1008.869995,1054.130005,1054.130005,4183600,GOOGL
2020-03-24,1103.979980,1133.329956,1086.430054,1130.010010,1130.010010,3623400,GOOGL
2020-03-25,1124.579956,1146.170044,1083.010010,1101.619995,1101.619995,4516200,GOOGL
2020-03-26,1114.719971,1171.479980,1092.030029,1162.920044,1162.920044,3828100,GOOGL
2020-03-27,1127.469971,1151.050049,1104.000000,1110.260010,1110.260010,3139700,GOOGL
2020-03-30,1132.640015,1151.000000,1098.489990,1146.310059,1146.310059,2936800,GOOGL
2020-03-31,1148.729980,1173.400024,1136.719971,1161.949951,1161.949951,3261400,GOOGL
2020-04-01,1124.000000,1129.420044,1093.489990,1102.099976,1102.099976,2598500,GOOGL
2020-04-02,1100.000000,1122.770020,1093.130005,1117.030029,1117.030029,2820500,GOOGL
2020-04-03,1114.709961,1118.790039,1075.079956,1092.699951,1092.699951,2568700,GOOGL
2020-04-06,1133.000000,1190.750000,1125.000000,1183.189941,1183.189941,3166000,GOOGL
2020-04-07,1217.010010,1220.780029,1177.250000,1182.560059,1182.560059,3081000,GOOGL
2020-04-08,1203.099976,1214.900024,1183.949951,1207.000000,1207.000000,2016700,GOOGL
2020-04-09,1218.180054,1221.989990,1192.420044,1206.569946,1206.569946,2701400,GOOGL
2020-04-13,1201.500000,1214.520020,1182.329956,1210.410034,1210.410034,1935100,GOOGL
2020-04-14,1239.969971,1275.750000,1228.540039,1265.229980,1265.229980,3167900,GOOGL
2020-04-15,1246.510010,1275.109985,1234.000000,1257.300049,1257.300049,2111800,GOOGL
2020-04-16,1267.140015,1273.359985,1238.199951,1257.430054,1257.430054,2894800,GOOGL
2020-04-17,1281.699951,1290.000000,1266.000000,1279.000000,1279.000000,2552500,GOOGL
2020-04-20,1269.890015,1276.819946,1256.439941,1261.150024,1261.150024,1764600,GOOGL
2020-04-21,1242.709961,1250.000000,1205.000000,1212.160034,1212.160034,2482400,GOOGL
2020-04-22,1241.109985,1279.880005,1237.199951,1258.410034,1258.410034,2315800,GOOGL
2020-04-23,1265.739990,1288.150024,1260.530029,1271.170044,1271.170044,1710100,GOOGL
2020-04-24,1255.000000,1277.709961,1244.000000,1276.599976,1276.599976,1872000,GOOGL
2020-04-27,1292.000000,1294.099976,1265.060059,1270.859985,1270.859985,2209300,GOOGL
2020-04-28,1283.199951,1284.760010,1230.380005,1232.589966,1232.589966,4035000,GOOGL
2020-04-29,1345.000000,1360.150024,1326.729980,1342.180054,1342.180054,5417900,GOOGL
2020-04-30,1331.359985,1350.000000,1321.500000,1346.699951,1346.699951,2789200,GOOGL
2020-05-01,1324.089966,1351.430054,1309.660034,1317.319946,1317.319946,2443600,GOOGL
2020-05-04,1308.130005,1324.469971,1296.010010,1322.900024,1322.900024,1540300,GOOGL
2020-05-05,1337.500000,1371.010010,1335.030029,1349.020020,1349.020020,1983300,GOOGL
2020-05-06,1358.000000,1368.689941,1345.130005,1345.430054,1345.430054,1586600,GOOGL
2020-05-07,1361.310059,1376.000000,1352.540039,1369.280029,1369.280029,1532600,GOOGL
2020-05-08,1381.819946,1396.640015,1372.010010,1384.339966,1384.339966,1666300,GOOGL
2020-05-11,1376.790039,1415.530029,1375.500000,1403.589966,1403.589966,1635900,GOOGL
2020-05-12,1408.219971,1414.329956,1374.510010,1375.180054,1375.180054,1695900,GOOGL
2020-05-13,1376.160034,1385.329956,1328.010010,1348.329956,1348.329956,2018400,GOOGL
2020-05-14,1333.520020,1357.369995,1323.300049,1356.859985,1356.859985,1833000,GOOGL
2020-05-15,1348.260010,1374.579956,1339.000000,1373.060059,1373.060059,2077200,GOOGL
2020-05-18,1361.579956,1392.760010,1354.199951,1385.180054,1385.180054,2356400,GOOGL
2020-05-19,1385.479980,1392.489990,1373.760010,1374.400024,1374.400024,1579300,GOOGL
2020-05-20,1389.160034,1412.030029,1387.420044,1409.160034,1409.160034,1913100,GOOGL
2020-05-21,1410.989990,1416.459961,1394.390015,1406.750000,1406.750000,1544700,GOOGL
2020-05-22,1403.900024,1417.000000,1395.949951,1413.239990,1413.239990,1427200,GOOGL
2020-05-26,1441.959961,1445.109985,1419.400024,1421.369995,1421.369995,2229500,GOOGL
2020-05-27,1420.000000,1425.349976,1394.599976,1420.280029,1420.280029,1584200,GOOGL
2020-05-28,1400.000000,1444.459961,1399.079956,1418.239990,1418.239990,1758500,GOOGL
2020-05-29,1420.430054,1436.729980,1415.979980,1433.520020,1433.520020,1852200,GOOGL
2020-06-01,1425.699951,1441.579956,1422.280029,1434.869995,1434.869995,1258100,GOOGL
2020-06-02,1435.000000,1443.000000,1421.609985,1442.310059,1442.310059,1172100,GOOGL
2020-06-03,1442.699951,1449.010010,1431.619995,1439.250000,1439.250000,1386600,GOOGL
2020-06-04,1436.780029,1441.319946,1406.010010,1414.300049,1414.300049,1349100,GOOGL
2020-06-05,1415.640015,1446.300049,1407.619995,1440.020020,1440.020020,2132100,GOOGL
2020-06-08,1426.280029,1449.000000,1424.479980,1448.040039,1448.040039,1693900,GOOGL
2020-06-09,1445.239990,1467.800049,1442.359985,1452.079956,1452.079956,1681200,GOOGL
2020-06-10,1461.510010,1472.770020,1454.359985,1464.699951,1464.699951,1588100,GOOGL
2020-06-11,1441.030029,1451.599976,1398.410034,1401.900024,1401.900024,2357200,GOOGL
2020-06-12,1425.859985,1434.510010,1385.800049,1412.920044,1412.920044,1832900,GOOGL
2020-06-15,1389.489990,1425.000000,1387.199951,1420.739990,1420.739990,1523400,GOOGL
2020-06-16,1449.000000,1457.170044,1428.989990,1446.469971,1446.469971,1532400,GOOGL
2020-06-17,1452.939941,1462.199951,1435.130005,1452.540039,1452.540039,1528300,GOOGL
2020-06-18,1449.849976,1452.969971,1426.239990,1434.119995,1434.119995,1743100,GOOGL
2020-06-19,1440.000000,1444.500000,1419.000000,1424.640015,1424.640015,2639200,GOOGL
2020-06-22,1425.010010,1450.949951,1419.189941,1450.660034,1450.660034,1472100,GOOGL
2020-06-23,1452.000000,1475.199951,1445.000000,1463.979980,1463.979980,1887600,GOOGL
2020-06-24,1463.280029,1475.790039,1430.000000,1432.699951,1432.699951,1579600,GOOGL
2020-06-25,1431.219971,1442.319946,1419.540039,1441.099976,1441.099976,1197900,GOOGL
2020-06-26,1432.630005,1437.020020,1355.000000,1362.540039,1362.540039,4882000,GOOGL
2020-06-29,1360.339966,1398.000000,1351.650024,1397.170044,1397.170044,2253700,GOOGL
2020-06-30,1396.880005,1424.000000,1386.930054,1418.050049,1418.050049,2014300,GOOGL
2020-07-01,1419.170044,1448.479980,1414.180054,1442.000000,1442.000000,2109100,GOOGL
2020-07-02,1451.839966,1488.520020,1451.069946,1469.930054,1469.930054,2860900,GOOGL
2020-07-06,1488.150024,1510.000000,1476.979980,1499.650024,1499.650024,2235600,GOOGL
2020-07-07,1496.130005,1521.319946,1489.699951,1489.920044,1489.920044,2118200,GOOGL
2020-07-08,1500.800049,1511.170044,1492.300049,1503.599976,1503.599976,1588300,GOOGL
2020-07-09,1509.930054,1529.140015,1495.589966,1518.660034,1518.660034,2091800,GOOGL
2020-07-10,1513.250000,1541.339966,1500.719971,1539.010010,1539.010010,1795900,GOOGL
2020-07-13,1549.939941,1576.359985,1506.560059,1512.229980,1512.229980,2147700,GOOGL
2020-07-14,1492.790039,1522.800049,1485.930054,1520.859985,1520.859985,1905400,GOOGL
2020-07-15,1523.229980,1536.329956,1497.829956,1516.880005,1516.880005,1551300,GOOGL
2020-07-16,1501.500000,1515.910034,1488.270020,1514.920044,1514.920044,1324200,GOOGL
2020-07-17,1516.910034,1523.430054,1498.099976,1516.849976,1516.849976,1713200,GOOGL
2020-07-20,1515.000000,1569.010010,1502.699951,1563.839966,1563.839966,1508300,GOOGL
2020-07-21,1585.030029,1587.050049,1552.619995,1555.920044,1555.920044,1377700,GOOGL
2020-07-22,1555.709961,1566.979980,1543.229980,1564.849976,1564.849976,1224100,GOOGL
2020-07-23,1565.930054,1570.349976,1508.589966,1516.750000,1516.750000,1695500,GOOGL
2020-07-24,1499.189941,1515.430054,1487.589966,1508.209961,1508.209961,1495100,GOOGL
2020-07-27,1513.260010,1537.560059,1512.329956,1529.430054,1529.430054,1356200,GOOGL
2020-07-28,1525.000000,1526.010010,1500.520020,1503.650024,1503.650024,1545500,GOOGL
2020-07-29,1505.000000,1533.329956,1503.010010,1523.510010,1523.510010,1133800,GOOGL
2020-07-30,1497.969971,1540.890015,1495.170044,1538.369995,1538.369995,1802100,GOOGL